"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","0.1W","ARROW PART NUMBER","ARROW PRICE/STOCK","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","DATASHEET LINK","DIMS","HEIGHT","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MOUSER PART NUMBER","MOUSER PRICE/STOCK","NETNAME","PARAMETER 1","RS PART NUMBER","RS PRICE/STOCK","SYSTEM","VALUE","VOLT","SHEETPART","DESIGNATOR","DESCRIPTION"
"SN74LVC2G04DRLR","SOTFL50P160X60-6N","SOT23-6","","","","","SN74LVC2G04DRLR","https://www.arrow.com/en/products/sn74lvc2g04drlr/texas-instruments","*","","","http://www.ti.com/lit/gpn/sn74lvc2g04","","0.6mm","Texas Instruments","SN74LVC2G04DRLR","595-SN74LVC2G04DRLR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LVC2G04DRLR?qs=pajgIaoyDUgGT9cUBVgEUw%3D%3D","","","","","","","","*","IC?","2-ch, 1.65-V to 5.5-V inverters"
"STM32F103C8T6TR","QFP50P900X900X160-48N","","","","","","STM32F103C8T6TR","https://www.arrow.com/en/products/stm32f103c8t6tr/stmicroelectronics","*","","","http://media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/STM32F103x8,B.pdf","","1.6mm","STMicroelectronics","STM32F103C8T6TR","511-STM32F103C8T6TR","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/STM32F103C8T6TR?qs=5HwTSiuA5HDxFj62n06yag%3D%3D","","","","","","","","*","IC?","Integrated Circuit"
"STM32F103x_LQFP48","QFP50P900X900X160-48N","","","","","","","","*","","","","","","","","","","","","","","","","","*","IC?",""
"STM32F105R8T6","QFP50P1200X1200X160-64N","","","","","","STM32F105R8T6","https://www.arrow.com/en/products/stm32f105r8t6/stmicroelectronics","*","","","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00220364.pdf","","1.6mm","STMicroelectronics","STM32F105R8T6","511-STM32F105R8T6","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/STM32F105R8T6/?qs=1XJIe8X6XT24MwoK4mjh%2Fg%3D%3D","","","","","","","","*","IC?","Integrated Circuit"
"STM32L031F6P6","SOP65P640X120-20N","","","","","","STM32L031F6P6","https://www.arrow.com/en/products/stm32l031f6p6/stmicroelectronics","*","","","http://www.st.com/content/ccc/resource/technical/document/datasheet/aa/5d/77/ad/1a/59/4a/b9/DM00140359.pdf/files/DM00140359.pdf/jcr:content/translations/en.DM00140359.pdf","","1.2mm","STMicroelectronics","STM32L031F6P6","511-STM32L031F6P6","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/STM32L031F6P6/?qs=dTJS0cRn7ohDt6e1EJh76Q%3D%3D","","","","","","","","*","IC?","Integrated Circuit"
"STM32L031G4U6","QFN50P400X400X60-28N-D","","","","","","STM32L031G4U6","https://www.arrow.com/en/products/stm32l031g4u6/stmicroelectronics","*","","","https://www.arrow.com/en/products/stm32l031g4u6/stmicroelectronics","","0.6mm","STMicroelectronics","STM32L031G4U6","511-STM32L031G4U6","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/STM32L031G4U6?qs=dTJS0cRn7og%2FRNJGwymdwA%3D%3D","","","","","","","","*","IC?","Integrated Circuit"
"TEN 5-1210","TEN_5_Double","TEN_5_Single","","","","","","","TEN 5-1210","","","","","","","","","","","","","","","","","*","PS?","Traco Power DC/DC Converter TEN 5 Series, 6 Watt"
"TMR 2-1210","TMR_2","","","","","","","","TMR 2-1210","","","","","","","","","","","","","","","","","*","PS?","Traco Power DC/DC Converter TMR 2 Series, 2 Watt"
"TestPoint","TestPoint","","","","","","","","*","","","","","","","","","","","","","","","","","*","TP?",""
"UCC5390ECD","SOIC127P600X175-8N","","","","","","UCC5390ECD","https://www.arrow.com/en/products/ucc5390ecd/texas-instruments","*","","","http://www.ti.com/lit/gpn/UCC5390","","1.75mm","Texas Instruments","UCC5390ECD","595-UCC5390ECD","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/UCC5390ECD?qs=BZBei1rCqCCRNJU5YNcuog%3D%3D","","","","","","","","*","IC?","Integrated Circuit"
